tag,MSE,R2,svr__kernel,svr__epsilon,svr__tol,svr__C,svr__max_iter,high_corr_features_remover__corr_threshold,pca__n_components
svr,26969065.467269585,-23701.00847898815,linear,0.01,0.0001,10.0,2000,,
svr,82307.50471036778,-71.33669913023515,poly,0.01,0.0001,10.0,2000,,
svr,1346.857367107873,-0.1836978472213428,rbf,0.01,0.0001,10.0,2000,,
svr,2954353.3175814026,-2595.460284032623,sigmoid,0.01,0.0001,10.0,2000,,
l2 + svr,968.5996456180022,0.1487373916962384,linear,0.01,0.0001,10.0,2000,,
l2 + svr,1184.1606014593458,-0.0407103149471756,poly,0.01,0.0001,10.0,2000,,
l2 + svr,1059.023766067075,0.0692673310005848,rbf,0.01,0.0001,10.0,2000,,
l2 + svr,977.7996263490788,0.140651904953691,sigmoid,0.01,0.0001,10.0,2000,,
minmax + svr,553.906402436511,0.5131943202463073,linear,0.01,0.0001,10.0,2000,,
minmax + svr,664.2328659036549,0.4162329043704547,poly,0.01,0.0001,10.0,2000,,
minmax + svr,711.696867851269,0.3745187345571039,rbf,0.01,0.0001,10.0,2000,,
minmax + svr,162136.5635538514,-141.4951935680276,sigmoid,0.01,0.0001,10.0,2000,,
high_corr_features_remover + minmax + svr,1209.5610870570338,-0.0630337627409998,linear,0.01,0.0001,10.0,2000,0.95,
high_corr_features_remover + minmax + svr,841.0670608330199,0.2608205637879617,poly,0.01,0.0001,10.0,2000,0.95,
high_corr_features_remover + minmax + svr,759.3507563874135,0.3326376811883381,rbf,0.01,0.0001,10.0,2000,0.95,
high_corr_features_remover + minmax + svr,101386.0181704166,-88.10402421034843,sigmoid,0.01,0.0001,10.0,2000,0.95,
std + svr,4256.923986670131,-2.7412363638968404,linear,0.01,0.0001,10.0,2000,,
std + svr,40253.619970956825,-34.37726003222092,poly,0.01,0.0001,10.0,2000,,
std + svr,544.853096780691,0.5211509002649046,rbf,0.01,0.0001,10.0,2000,,
std + svr,49790.70939990062,-42.7590178200105,sigmoid,0.01,0.0001,10.0,2000,,
std + pca + svr,4565.998433560392,-3.012869252686487,linear,0.01,0.0001,10.0,2000,,0.95
std + pca + svr,24298.698105955704,-20.35513183557279,poly,0.01,0.0001,10.0,2000,,0.95
std + pca + svr,574.6969429687622,0.4949223646023043,rbf,0.01,0.0001,10.0,2000,,0.95
std + pca + svr,69299.34299419734,-59.90435789220056,sigmoid,0.01,0.0001,10.0,2000,,0.95
l2 + std + pca + svr,7440.69348984513,-5.539321149258803,linear,0.01,0.0001,10.0,2000,,0.95
l2 + std + pca + svr,91741.34467857348,-79.62771519036512,poly,0.01,0.0001,10.0,2000,,0.95
l2 + std + pca + svr,560.5434655254305,0.5073612769842015,rbf,0.01,0.0001,10.0,2000,,0.95
l2 + std + pca + svr,522955.2213889202,-458.6039527782059,sigmoid,0.01,0.0001,10.0,2000,,0.95
l1 + minmax + svr,2341.605176637746,-1.0579410072057436,linear,0.01,0.0001,10.0,2000,,
l1 + minmax + svr,3301.1398035975417,-1.9012367414122264,poly,0.01,0.0001,10.0,2000,,
l1 + minmax + svr,723.251615657617,0.3643637393530243,rbf,0.01,0.0001,10.0,2000,,
l1 + minmax + svr,353409.67403540324,-309.59730641054455,sigmoid,0.01,0.0001,10.0,2000,,
l2 + minmax + svr,3892.751551872925,-2.421180107299714,linear,0.01,0.0001,10.0,2000,,
l2 + minmax + svr,6636.954135288451,-4.832947507216264,poly,0.01,0.0001,10.0,2000,,
l2 + minmax + svr,951.028636380982,0.1641798329786652,rbf,0.01,0.0001,10.0,2000,,
